numtopics;average_topic_semdensity_for_10_topwords;model
4;0.395822925144;Only Nouns 500-100
5;0.394555757605;Only Nouns 500-100
6;0.400409574634;Only Nouns 500-100
7;0.359929787451;Only Nouns 500-100
8;0.374280064323;Only Nouns 500-100
9;0.35932524241;Only Nouns 500-100
10;0.352536394107;Only Nouns 500-100
