Acts;Author;Directions;Lemmas;Lemmas, per direction;Title;Words;Words, per direction;Year;Directions, per act;Words, per act;Lemmas, per act;ADJ;ADVB;INTJ;NOUN;PREP;VERB
1;Блок, Александр Александрович;38;910;22.26315789473684;Балаганчик;2240;22.73684210526316;1906;38.0;2240.0;910.0;3.289473684210526;1.3157894736842106;0.0;7.815789473684211;3.3157894736842106;3.3684210526315788
3;Блок, Александр Александрович;133;1475;14.63157894736842;Король на площади;5535;12.466165413533835;1907;44.33333333333334;1845.0;491.66666666666674;1.4210526315789473;0.8721804511278195;0.045112781954887216;4.428571428571429;1.6842105263157894;2.0902255639097747
1;Блок, Александр Александрович;80;1342;18.025;Незнакомка;4222;16.4625;1907;80.0;4222.0;1342.0;2.4625;0.95;0.0;5.45;2.125;2.8375
4;Булгаков, Михаил Афанасьевич;372;2901;5.634408602150537;Дни Турбиных;16426;3.739247311827957;1926;93.0;4106.5;725.25;0.4166666666666667;0.13172043010752688;0.01881720430107527;1.478494623655914;0.5403225806451613;0.8333333333333334
3;Булгаков, Михаил Афанасьевич;319;2195;6.507836990595611;Иван Васильевич;10303;4.721003134796239;1936;106.33333333333331;3434.333333333333;731.6666666666665;0.39184952978056425;0.15673981191222572;0.006269592476489028;2.0156739811912225;0.6896551724137931;1.0689655172413792
4;Булгаков, Михаил Афанасьевич;507;2412;8.183431952662723;Кабала святош (Мольер);11310;6.585798816568048;1936;126.75;2827.5;603.0;0.6331360946745562;0.36489151873767256;0.009861932938856016;2.455621301775148;0.9309664694280079;1.2485207100591715
4;Булгаков, Михаил Афанасьевич;328;2602;8.323170731707316;Последние дни (Пушкин);11419;6.5182926829268295;1943;82.0;2854.75;650.5;0.5762195121951219;0.27134146341463417;0.009146341463414634;2.6341463414634148;0.9969512195121951;1.4329268292682926
4;Чехов, Антон Павлович;474;2605;5.4683544303797476;Чайка;13726;3.774261603375528;1896;118.5;3431.5;651.25;0.22362869198312235;0.229957805907173;0.002109704641350211;1.3987341772151898;0.5421940928270043;0.8016877637130801
4;Чехов, Антон Павлович;412;2368;5.368932038834951;Дядя Ваня;12620;3.5898058252427183;1897;103.0;3155.0;592.0;0.1966019417475728;0.19902912621359223;0.0;1.3446601941747574;0.47815533980582525;0.7766990291262136
4;Чехов, Антон Павлович;549;2978;4.927140255009109;Иванов;17248;3.29872495446266;1889;137.25;4312.0;744.5;0.2495446265938069;0.16393442622950818;0.0018214936247723133;1.2112932604735884;0.4207650273224044;0.75591985428051
1;Чехов, Антон Павлович;144;1076;4.986111111111111;Юбилей;3556;3.263888888888889;1892;144.0;3556.0;1076.0;0.1527777777777778;0.2013888888888889;0.013888888888888888;1.1666666666666667;0.5694444444444444;0.7291666666666666
4;Чехов, Антон Павлович;498;2853;4.817269076305222;Леший;17002;3.102409638554217;1889;124.5;4250.5;713.25;0.3654618473895582;0.09236947791164658;0.004016064257028112;1.1004016064257027;0.3795180722891566;0.6566265060240963
1;Чехов, Антон Павлович;102;1099;4.401960784313727;Медведь;3665;2.7450980392156863;1888;102.0;3665.0;1099.0;0.11764705882352941;0.11764705882352941;0.0;0.8725490196078431;0.3431372549019608;0.7549019607843137
1;Чехов, Антон Павлович;214;1537;5.210280373831775;На большой дороге;5386;3.5887850467289715;1884;214.0;5386.0;1537.0;0.21495327102803738;0.12149532710280374;0.009345794392523364;1.3691588785046729;0.5560747663551402;0.9018691588785047
1;Чехов, Антон Павлович;52;690;4.596153846153847;Ночь перед судом;1717;2.9423076923076925;1886;52.0;1717.0;690.0;0.3076923076923077;0.07692307692307693;0.0;1.0576923076923077;0.5384615384615384;0.5384615384615384
1;Чехов, Антон Павлович;79;893;3.7215189873417716;Предложение;3313;2.2025316455696204;1889;79.0;3313.0;893.0;0.0759493670886076;0.05063291139240506;0.0;0.7721518987341772;0.26582278481012656;0.6708860759493671
1;Чехов, Антон Павлович;96;1039;4.520833333333333;Свадьба;3413;2.8854166666666665;1890;96.0;3413.0;1039.0;0.22916666666666666;0.07291666666666667;0.0625;1.0729166666666667;0.3333333333333333;0.6041666666666666
1;Чехов, Антон Павлович;126;1156;4.4523809523809526;Татьяна Репина;3681;3.071428571428572;1889;126.0;3681.0;1156.0;0.23015873015873015;0.1111111111111111;0.0;1.2619047619047619;0.3968253968253968;0.7380952380952381
1;Чехов, Антон Павлович;16;802;6.25;Трагик поневоле (Из дачной жизни);1655;4.75;1889;16.0;1655.0;802.0;0.375;0.25;0.0;1.75;0.8125;0.75
